"suburb","MAX price"
"Yarra Glen","$620,000.00"
"Bellfield","$1,110,000.00"
"South Yarra","$5,700,000.00"
"Officer","$559,000.00"
"Sandhurst","$645,000.00"
"Ashwood","$1,680,000.00"
"Watsonia North","$920,000.00"
"Docklands","$1,370,000.00"
"Prahran","$4,200,000.00"
"Clayton","$2,950,000.00"
"Chelsea","$875,000.00"
"Wantirna","$1,280,000.00"
"Croydon","$1,188,000.00"
"Hampton East","$1,471,000.00"
"Canterbury","$8,000,000.00"
"Heidelberg","$1,705,000.00"
"Mount Waverley","$2,558,000.00"
"Ascot Vale","$2,425,000.00"
"Kew East","$3,028,000.00"
"Hoppers Crossing","$1,305,000.00"
"Carnegie","$1,966,000.00"
"Burwood East","$1,600,000.00"
"Scoresby","$1,120,000.00"
"Dandenong North","$930,000.00"
"Epping","$1,012,000.00"
"Caulfield South","$2,450,000.00"
"Alphington","$2,840,000.00"
"Yarraville","$2,450,000.00"
"Port Melbourne","$3,705,000.00"
"Croydon South","$800,000.00"
"Mordialloc","$1,800,000.00"
"Maribyrnong","$3,400,000.00"
"Roxburgh Park","$621,000.00"
"Glen Huntly","$2,575,000.00"
"Chelsea Heights","$835,500.00"
"Keilor East","$1,475,000.00"
"Burnside Heights","$655,000.00"
"Fitzroy North","$3,400,000.00"
"Gisborne","$807,000.00"
"Aspendale Gardens","$951,000.00"
"Hawthorn East","$3,750,000.00"
"Collingwood","$1,645,000.00"
"Albert Park","$4,735,000.00"
"Bayswater North","$900,000.00"
"Strathmore","$2,650,000.00"
"Elsternwick","$3,000,000.00"
"Albanvale","$655,000.00"
"Kings Park","$565,000.00"
"Preston","$2,300,000.00"
"Glenroy","$1,220,000.00"
"Kurunjang","$375,000.00"
"South Melbourne","$4,100,000.00"
